id,spaceCode,spaceName,floor
422,4K001,1,4
423,4K002,2,4
424,4K003,3,4
425,4K004,4,4
426,4K005,5,4
427,4K006,6,4
428,4K007,7,4
429,4K008,8,4
294,4L161,9,4
295,4L162,10,4
297,4L164,11,4
296,4L163,12,4
437,4K016,13,4
436,4K015,14,4
435,4K014,15,4
434,4K013,16,4
433,4K012,17,4
432,4K011,18,4
431,4K010,19,4
430,4K009,20,4
298,4L165,21,4
299,4L166,22,4
301,4L168,23,4
300,4L167,24,4
445,4K024,25,4
444,4K023,26,4
443,4K022,27,4
442,4K021,28,4
441,4K020,29,4
440,4K019,30,4
439,4K018,31,4
438,4K017,32,4
446,4K025,33,4
447,4K026,34,4
448,4K027,35,4
449,4K028,36,4
450,4K029,37,4
451,4K030,38,4
452,4K031,39,4
453,4K032,40,4
302,4L169,41,4
303,4L170,42,4
305,4L172,43,4
304,4L171,44,4
459,4K038,45,4
458,4K037,46,4
457,4K036,47,4
456,4K035,48,4
455,4K034,49,4
454,4K033,50,4
461,4K041,51,4
462,4K042,52,4
463,4K043,53,4
464,4K044,54,4
465,4K045,55,4
466,4K046,56,4
467,4K047,57,4
468,4K048,58,4
306,4L173,59,4
307,4L174,60,4
309,4L176,61,4
308,4L175,62,4
476,4K056,63,4
475,4K055,64,4
474,4K054,65,4
473,4K053,66,4
472,4K052,67,4
471,4K051,68,4
470,4K050,69,4
469,4K049,70,4
477,4K057,71,4
478,4K058,72,4
479,4K059,73,4
480,4K060,74,4
481,4K061,75,4
482,4K062,76,4
483,4K063,77,4
484,4K064,78,4
310,4L177,79,4
311,4L178,80,4
313,4L180,81,4
312,4L179,82,4
492,4K072,83,4
491,4K071,84,4
490,4K070,85,4
489,4K069,86,4
488,4K068,87,4
487,4K067,88,4
486,4K066,89,4
485,4K065,90,4
493,4K073,91,4
494,4K074,92,4
495,4K075,93,4
496,4K076,94,4
497,4K077,95,4
498,4K078,96,4
499,4K079,97,4
500,4K080,98,4
314,4L181,99,4
315,4L182,100,4
317,4L184,101,4
316,4L183,102,4
342,4K081,103,4
343,4K082,104,4
344,4K083,105,4
345,4K084,106,4
346,4K085,107,4
347,4K086,108,4
318,4L186,109,4
